COURSEID,COURSECODE,COURSETITLE,COURSECREDITS
243,MGMT101,APPLIED MANAGEMENT I,3
246,MGMT2055,BUSINESS ETHICS,3
245,MGMT205,PRINCIPLES OF SUPERVISION,3
247,MGMT285,BUSINESS ETHICS,3
248,MGMT3105,HUMAN RESOURCE MANAGEMENT,3
249,MGMT373,HUMAN RESOURCE MANAGEMENT,3
250,MKTG2015,PRINCIPLES OF MARKETING,3
251,MKTG221,PRINCIPLES OF MARKETING,3
253,NRMP1014,ENVIRONMENTAL CONSERVATION & DEVELOPMENT,3
252,NRMP101,ENVIRON. CONSERV & DEVELOPMENT I,3
254,NRMP105,INTRODUCTION TO MARINE ECOLOGY,3
255,NRMP1151,FUNDAMENTALS FOR ENVIRONMENTAL MANAGERS,3
256,NRMP208,PEOPLE AND PARKS,3
257,NRMP210,HOSPITALITY/TOURISM,3
258,NRMP213,PROTECTED AREAS MANAGEMENT,3
259,NRMP2201,INTRODUCTION TO MARINE ECOLOGY,3
260,NRMP2251,INTRODUCTION TO RECREATION,3
261,NRMP2301,INTRODUCTION TO GEOLOGY,3
262,NRMP2351,WASTE MANAGEMENT,3
263,NRMP3401,INTRODUCTION TO GIS,4
264,PHAR1101,INTRODUCTION TO PHARMACY,2
265,PHIL1014,ETHICS,3
266,PHIL210,ETHICS,3
267,PHIL300,PHILOSOPHY OF HUMAN NATURE,3
268,PHYS1015L,GENERAL PHYSICS I LAB,1
269,PHYS1015,GENERAL PHYSICS I,3
270,PHYS1041,PHYSICS FOR ENGINEERS,2
271,PHYS241L,GENERAL PHYSICS LAB,1
272,PHYS241,GENERAL PHYSICS I,3
273,PHYS242,PHYSICS 11,3
274,PLAE0014,ENGLISH PLACEMENT,0
275,PLAM0014,MATH PLACEMENT TEST,0
276,PLAS0014,SPANISH PLACEMENT EXAM,0
277,PSY221,INTRODUCTORY PSYCHOLOGY 1,0
278,PSYC1014,INTRODUCTION TO PSYCHOLOGY,3
279,PSYC221,INTRO TO PSYCHOLOGY,3
280,QMGT221,BUSINESS STATISTICS 1,3
281,RSCH2014,RESEARCH METHODS,3
282,RSCH299,INTRODUCTION TO RESEARCH METHODS,3
283,SCIE150,INTEGRATED SCIENCE,3
284,SOCL1014,INTRODUCTION TO SOCIOLOGY,3
285,SOCL221,INTRODUCTION TO SOCIOLOGY,3
286,SOCL225,INTRO. TO CULTURAL ANTHROPOLOGY,3
287,SOST290,SOCI/POL ISSUES  IN BELIZEAN DEV.,3
289,SPAN1015,LEVEL 1 BEGINNERS SPANISH,3
288,SPAN101,LEVEL 1 BEGINNING SPANISH,3
291,SPAN1025,LEVEL 2 LOWER-INTERMEDIATE SPANISH,3
290,SPAN102,LEVEL 2 LOWER-INTERMEDIATE SPANISH,3
292,SPAN111,SPANISH 1,3
293,SPAN112,SPANISH II,3
295,SPAN2015,LEVEL 3 INTERMEDIATE SPANISH,3
294,SPAN201,LEVEL 3 INTERMEDIATE SPANISH,3
297,SPAN2025,LEVEL 4  HIGH-INTERMEDIATE SPANISH,3
296,SPAN202,LEVEL 4 HIGH-INTERMEDIATE SPANISH,3
299,SPAN3015,LEVEL 5 ADVANCED SPANISH,3
298,SPAN301,LEVEL 5 ADVANCED SPANISH,3
300,SWRK235,INTRODUCTION TO SOCIAL WORK,3
301,TOUR1014,INTRODUCTION TO TOURISM,3
302,TOUR1052,TOURISM GEOGRAPHY,3
